exp,setup,total,near_level,setup_enabled,profile_valid,composite_bias_ok,value_migration_ok,rejection_candle_ok,orderflow_confirmed,stop_valid,target_valid,entered,top_fail_stage,top_fail_count
A,VAL_REJECTION_LONG,4769,4769,3961,3961,2973,2971,28,17,7,7,7,rejection_candle_invalid,2943
A,VAH_REJECTION_SHORT,4769,4769,4061,4061,3192,3190,60,56,53,41,4,rejection_candle_invalid,3130
A0,VAL_REJECTION_LONG,4769,4769,3961,3961,2973,2971,28,17,7,7,7,rejection_candle_invalid,2943
A0,VAH_REJECTION_SHORT,4769,4769,4061,4061,3192,3190,60,56,53,41,4,rejection_candle_invalid,3130
A1,VAL_REJECTION_LONG,4831,4831,4018,4018,3006,3004,28,17,7,7,7,rejection_candle_invalid,2976
B1,VAL_REJECTION_LONG,4769,4769,3961,3961,2973,2971,28,17,7,7,7,rejection_candle_invalid,2943
B1,VAH_REJECTION_SHORT,4769,4769,4061,4061,3192,3190,60,56,53,41,4,rejection_candle_invalid,3130
C1,VAL_REJECTION_LONG,4769,4769,3961,3961,2973,2971,28,17,7,7,7,rejection_candle_invalid,2943
C1,VAH_REJECTION_SHORT,4769,4769,4061,4061,3192,3190,60,56,53,41,4,rejection_candle_invalid,3130
D1,VAL_REJECTION_LONG,4831,4831,4018,4018,4018,4018,48,34,16,15,7,rejection_candle_invalid,3970
D2,VAL_REJECTION_LONG,4831,4831,4018,4018,3006,3006,28,17,7,7,7,rejection_candle_invalid,2978
D3,VAL_REJECTION_LONG,4831,4831,4018,4018,4018,4012,48,34,16,15,7,rejection_candle_invalid,3964
D4,VAL_REJECTION_LONG,4831,4831,4018,4018,3006,3004,28,17,7,7,7,rejection_candle_invalid,2976
D5,VAL_REJECTION_LONG,4831,4831,4018,4018,3006,3004,28,17,7,7,7,rejection_candle_invalid,2976
E1,VAL_REJECTION_LONG,4829,4829,4016,4016,3004,3002,29,17,7,7,7,rejection_candle_invalid,2973
E2,VAL_REJECTION_LONG,4831,4831,4018,4018,3006,3004,28,17,7,7,7,rejection_candle_invalid,2976
E3,VAL_REJECTION_LONG,4831,4831,4018,4018,3006,3004,26,16,7,7,7,rejection_candle_invalid,2978
F1,VAL_REJECTION_LONG,4831,4831,4018,4018,3006,3004,28,17,7,7,7,rejection_candle_invalid,2976
