exp,context,trades,pnl
A,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
A,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
A,NEUTRAL_BULLISH|NEUTRAL_OVERLAP,3,430.3174946972131
A,NEUTRAL_BEARISH|NO_CLEAR,2,-427.8213585236116
A0,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
A0,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
A0,NEUTRAL_BULLISH|NEUTRAL_OVERLAP,3,430.3174946972131
A0,NEUTRAL_BEARISH|NO_CLEAR,2,-427.8213585236116
A1,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
A1,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
B1,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
B1,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
B1,NEUTRAL_BULLISH|NEUTRAL_OVERLAP,3,461.46777505128534
B1,NEUTRAL_BEARISH|NO_CLEAR,2,-427.8213585236116
C1,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
C1,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
C1,NEUTRAL_BULLISH|NEUTRAL_OVERLAP,3,430.3174946972131
C1,NEUTRAL_BEARISH|NO_CLEAR,2,-427.8213585236116
D1,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
D1,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
D2,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
D2,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
D3,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
D3,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
D4,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
D4,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
D5,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
D5,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
E1,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
E1,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-889.9412545712617
E2,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
E2,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
E3,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
E3,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
F1,NEUTRAL_BULLISH|NO_CLEAR,6,4213.733594150265
F1,NEUTRAL_BULLISH|MODERATE_BEARISH,3,-724.1485081715412
