exp,setup,count,avg_mfe_R,avg_mae_R,max_mfe_R,max_mae_R
A,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
A,VAH_REJECTION_SHORT,5,1.3487336240513603,-0.5665629741962711,3.040413072979117,-1.1390346096198405
A0,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
A0,VAH_REJECTION_SHORT,5,1.3487336240513603,-0.5665629741962711,3.040413072979117,-1.1390346096198405
A1,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
B1,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
B1,VAH_REJECTION_SHORT,5,1.3487336240513603,-0.5665629741962711,3.040413072979117,-1.1390346096198405
C1,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
C1,VAH_REJECTION_SHORT,5,1.3487336240513603,-0.5665629741962711,3.040413072979117,-1.1390346096198405
D1,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
D2,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
D3,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
D4,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
D5,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
E1,VAL_REJECTION_LONG,9,1.8223354571376653,-0.35541909894319806,4.842581270926438,-1.0597617037245821
E2,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
E3,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
F1,VAL_REJECTION_LONG,9,1.8460860772040542,-0.330682324158619,4.842581270926438,-0.8371307306633707
